Module	1	2	3	4	5	6	Definition
M00681	126.899	84.245	91.075	63.921	133.625	8.154	Activin signaling [PATH:map04350 map04550]
M00680	103.933	84.429	68.936	60.178	114.064	7.31	TGF-beta signaling [PATH:map04350 map04390]
M00679	61.507	32.452	34.192	21.622	90.685	6.441	BMP signaling [PATH:map04350 map04390 map04550]
M00678	12.691	1.748	18.326	151.619	42.253	3.016	Hedgehog signaling [PATH:map04340 map05217]
M00677	370.674	480.019	325.015	304.114	348.984	24.274	Wnt signaling [PATH:map04310]
M00676	137.371	89.111	94.595	555.497	166.09	19.302	PI3K-Akt signaling [PATH:map04151 map04068 map04910]
M00670	12.165	18.026	7.324	49.358	26.822	2355.622	Mce transport system [BR:ko02000]
M00669	12.165	18.026	7.324	49.358	26.822	2355.622	gamma-Hexachlorocyclohexane transport system [BR:ko02000]
M00668	1254.47	1457.575	1662.472	417.085	409.286	2346.936	Tetracycline resistance, TetA transporter
M00660	0	0	0	10.293	0	50.596	Xanthomonas spp. pathogenicity signature, T3SS and effectors
M00653	0	0	0	0	0	81.237	AauS-AauR (acidic amino acids utilization) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00651	144.748	78.412	119.549	78.282	47.442	1.882	Vancomycin resistance, D-Ala-D-Lac type [PATH:map01502 map02020]
M00648	3.228	4.094	1.541	1.362	5.743	461.536	Multidrug resistance, efflux pump MdtABC [PATH:map02020]
M00647	16.231	31.052	28.571	141.411	197.601	3499.579	Multidrug resistance, efflux pump AcrAB-TolC/SmeDEF
M00646	5.216	0.299	8.847	87.591	113.39	2754.98	Multidrug resistance, efflux pump AcrAD-TolC [PATH:map02020]
M00643	0	0	0	18.046	7.4	173.863	Multidrug resistance, efflux pump MexXY-OprM
M00642	0	0	0	12.732	5.287	869.654	Multidrug resistance, efflux pump MexJK-OprM
M00641	0	0	0	0	0	1465.097	Multidrug resistance, efflux pump MexEF-OprN
M00637	28.519	25.481	43.226	0	4.838	0	Anthranilate degradation, anthranilate => catechol [PATH:map00627]
M00633	0	0	0	0	0	253.412	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map01200 map00030 map00052]
M00632	2.842	22.14	13.818	190.851	102.312	383.726	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052]
M00631	4.206	2.684	4.767	2.063	7.808	1150.16	D-Galacturonate degradation (bacteria) [PATH:map00040 map00030]
M00628	9.266	8.748	9.809	14.236	0	576.938	beta-Lactam resistance, AmpC system [PATH:map01501]
M00624	0	2.984	1.123	0	0	49.437	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate [PATH:map01220 map00624]
M00623	0	0	0	0	0	51.03	Phthalate degradation, phthalate => protocatechuate [PATH:map01220 map00624]
M00622	0	0	0	9.365	11.234	80.128	Nicotinate degradation, nicotinate => fumarate [PATH:map00760]
M00620	1269.639	1258.502	1339.899	489.109	821.132	9696.551	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map01200 map00720]
M00615	286.875	121.66	349.613	14.311	6.129	735.022	Nitrate assimilation
M00609	1180.71	1353.691	1309.498	987.969	868.065	1384.824	Cysteine biosynthesis, methionine => cysteine [PATH:map01230 map00270]
M00607	416.697	541.221	616.885	34.936	130.648	4214.624	Glycerol transport system [PATH:map02010] [BR:ko02000]
M00606	587.186	466.624	589.027	11.069	58.395	1126.009	N,N'-Diacetylchitobiose transport system [PATH:map02010] [BR:ko02000]
M00605	681.664	542.526	713.761	13.767	101.462	4182.346	Glucose/mannose transport system [PATH:map02010] [BR:ko02000]
M00603	0.722	0.821	0.339	4.537	44.176	0.41	Putative aldouronate transport system [PATH:map02010] [BR:ko02000]
M00602	587.186	466.624	589.027	11.069	58.395	1126.009	Arabinosaccharide transport system [PATH:map02010] [BR:ko02000]
M00601	0	0	0	0	0	87.92	Putative chitobiose transport system [PATH:map02010] [BR:ko02000]
M00600	1.175	13.923	2.833	0	0	0	alpha-1,4-Digalacturonate transport system [PATH:map02010] [BR:ko02000]
M00597	0	0	0	0	0	0	Anoxygenic photosystem II [BR:ko00194]
M00596	125.19	98.69	163.729	62.207	168.126	1062.916	Dissimilatory sulfate reduction, sulfate => H2S [PATH:map00920]
M00595	980.353	1430.231	1338.48	459.727	1012.425	12028.239	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate [PATH:map00920]
M00593	1.635	0	2.343	4.336	33.126	79.886	Inositol transport system [PATH:map02010] [BR:ko02000]
M00590	0	0	0	0	1.011	0	Erythritol transport system [PATH:map02010] [BR:ko02000]
M00582	73.105	97.753	87.931	0	0	0	Energy-coupling factor transport system [PATH:map02010] [BR:ko02000]
M00581	0	0	0	0	0	0	Biotin transport system [PATH:map02010] [BR:ko02000]
M00580	6.161	6.006	7.484	69.586	40.651	5647.9	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]
M00579	0	7.213	0	45.983	0	839.398	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate [PATH:map01200 map00720]
M00577	13.151	29.479	35.342	21.338	41.889	2318.416	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin [PATH:map00780]
M00575	1.306	0	6.798	22.583	53.887	1263.101	Pertussis pathogenicity signature 2, T1SS [PATH:map05133]
M00573	13.151	29.479	35.342	21.338	41.889	2318.416	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin [PATH:map00780]
M00572	103.209	112.517	124.067	204.138	261.381	10237.351	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP [PATH:map00780]
M00571	1.306	0	6.798	22.583	53.887	1391.725	AlgE-type Mannuronan C-5-Epimerase transport system [BR:ko02044]
M00570	343.928	470.845	518.412	830.095	1274.21	10524.251	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]
M00569	1.29	4.904	7.884	2.021	66.461	1013.237	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA [PATH:map01220 map00362 map00622]
M00568	0	0	0	0.409	0	898.245	Catechol ortho-cleavage, catechol => 3-oxoadipate [PATH:map01220 map00362]
M00567	6.842	0	8.268	9.532	22.769	701.388	Methanogenesis, CO2 => methane [PATH:map01200 map00680]
M00566	7.269	4.722	7.02	0	0	0	Dipeptide transport system, Firmicutes [PATH:map02010] [BR:ko02000]
M00565	232.384	182.993	266.236	120.33	199.529	5351.399	Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500]
M00564	0	0	0	6.75	0	0	Helicobacter pylori pathogenicity signature, cagA pathogenicity island [PATH:map05120]
M00563	0	0	0	0	0	40.969	Methanogenesis, methylamine/dimethylamine/trimethylamine  => methane [PATH:map01200 map00680]
M00555	28.288	47.699	23.127	9.658	12.469	1362.048	Betaine biosynthesis, choline => betaine [PATH:map00260]
M00554	0	0	0	45.8	10.953	0	Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00520 map00052]
M00552	833.282	861.489	851.71	3170.948	1901.388	7913.383	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]
M00551	22.834	26.996	58.523	0	18.156	887.822	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol [PATH:map01220 map00362 map00622]
M00550	0	0	2.174	14.295	18.697	423.101	Ascorbate degradation, ascorbate => D-xylulose-5P [PATH:map00053]
M00549	207.263	131.992	137.259	319.179	295.941	6092.861	Nucleotide sugar biosynthesis, glucose => UDP-glucose [PATH:map00520]
M00548	0.838	0	0	0	3.56	68.643	Benzene degradation, benzene => catechol [PATH:map01220 map00362]
M00546	299.418	200.835	203.917	217.368	221.033	2446.39	Purine degradation, xanthine => urea [PATH:map00230]
M00545	0	1.4	1.559	4.06	0.913	133.546	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA [PATH:map01220 map00360]
M00544	0	0	6.29	0	2.942	0	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate [PATH:map01220 map00621]
M00542	0	0	0	13.418	0	50.596	EHEC/EPEC pathogenicity signature, T3SS and effectors [PATH:map05130]
M00540	0	0	0	0	0	56.169	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA [PATH:map01220 map00362]
M00539	3.762	5.417	20.811	0	13.396	0	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate [PATH:map01220 map00622]
M00538	7.918	8.603	11.484	0	2.24	0	Toluene degradation, toluene => benzoate [PATH:map01220 map00623]
M00537	35.27	40.659	48.153	0	5.631	0	Xylene degradation, xylene => methylbenzoate [PATH:map01220 map00622]
M00535	34.238	38.005	46.807	130.967	175.848	2060.182	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]
M00534	0	6.324	0	0	0	0	Naphthalene degradation, naphthalene => salicylate [PATH:map01220 map00626]
M00533	0	0	0	1.262	0	952.193	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate [PATH:map01220 map00350]
M00532	1740.182	2001.687	1702.846	1600.07	1895.876	21618.466	Photorespiration [PATH:map01200 map00630]
M00530	1346.515	2262.01	2095.466	375.277	294.985	3364.298	Dissimilatory nitrate reduction, nitrate => ammonia [PATH:map00910]
M00529	3199.117	3419.944	3758.709	563.457	512	4359.825	Denitrification, nitrate => nitrogen [PATH:map00910]
M00528	8898.04	12186.67	11587.031	892.503	744.845	44.056	Nitrification, ammonia => nitrite [PATH:map00910]
M00527	197.422	167.148	175.034	191.195	273.281	9458.171	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine [PATH:map01230 map00300]
M00526	197.422	167.148	175.034	191.195	271.982	9022.09	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine [PATH:map01230 map00300]
M00525	197.422	167.148	175.034	133.498	252.625	9432.813	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine [PATH:map01230 map00300]
M00524	0	0	0	88.508	14.253	0	FixL-FixJ (nitrogen fixation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00523	0	0	0	0	0	521.687	RegB-RegA (redox response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00517	0.731	0	0.873	9.54	15.551	4.126	RpfC-RpfG (cell-to-cell signaling) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00516	0	0	0	22.056	0.309	0	SLN1-YPD1-SSK1/SKN7 (osmosensing) two-component regulatory system [PATH:map02020 map04011] [BR:ko02022]
M00515	10.769	3.341	0	0	0	1891.406	FlrB-FlrC (polar flagellar synthesis) two-component regulatory system [PATH:map02020 map05111] [BR:ko02022]
M00512	13.422	24.332	33.017	0	0	0	CckA-CtrA/CpdR (cell cycle control) two-component regulatory system [PATH:map02020 map04112] [BR:ko02022]
M00511	0	0	0	19.784	0.506	0	PleC-PleD (cell fate control) two-component regulatory system [PATH:map02020 map04112] [BR:ko02022]
M00509	0	0	0	0	0.246	667.948	WspE-WspRF (chemosensory) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00507	60.372	111.009	88.796	45.205	182.978	4086.849	ChpA-ChpB/PilGH (chemosensory) two-component regulatory system [PATH:map02020] [BR:ko02022 ko02035]
M00506	1858.669	1871.838	2406.104	525.808	1183.403	6279.241	CheA-CheYBV (chemotaxis) two-component regulatory system [PATH:map02020 map02030] [BR:ko02022 ko02030 ko02035]
M00505	0	0	0	0	0	220.767	KinB-AlgB (alginate production) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00504	0	0	0	0	0.47	379.599	DctB-DctD (C4-dicarboxylate transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00502	0	0	0	0	0	48.834	GlrK-GlrR (amino sugar metabolism) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00501	0	0	0	21.563	19.884	206.87	PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00500	0	0	0	1.537	0	0	AtoS-AtoC (cPHB biosynthesis) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00499	0	0	0	15.899	1.151	0	HydH-HydG (metal tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00498	0	0	0	4.77	0	0	NtrY-NtrX (nitrogen regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00497	3.557	8.516	25.294	35.874	25.002	736.133	GlnL-GlnG (nitrogen regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00493	0	0	0	0	0.344	736.398	AlgZ-AlgR (alginate production) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00491	1560.048	1172.927	1634.244	46.2	80.911	1261.509	arabinogalactan oligomer/maltooligosaccharide transport system [PATH:map02010] [BR:ko02000]
M00485	28.905	19.437	20.295	0	0	0	KinABCDE-Spo0FA (sporulation control) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00483	26.539	0	13.194	0	0	0	NreB-NreC (dissimilatory nitrate/nitrite reduction) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00481	0	1.052	2.37	0.886	6.93	0	LiaS-LiaR (cell wall stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00479	27.295	3.824	4.152	0	0	0	DesK-DesR (membrane lipid fluidity regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00478	43.97	65.918	33.631	0	0	0	DegS-DegU (multicellular behavior control) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00477	0	0	0	0	0	443.61	EvgS-EvgA (acid and drug tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00475	0	0	0	49.318	9.008	889.293	BarA-UvrY (central carbon metabolism) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00474	0	0	0	18.372	13.298	55.952	RcsC-RcsD-RcsB (capsule synthesis) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00473	3.269	0	0	0	3.461	157.674	UhpB-UhpA (hexose phosphates uptake) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00471	0	0	0	0	0	342.008	NarX-NarL (nitrate respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00467	0	0	0	1.003	12.519	195.336	SasA-RpaAB (circadian timing mediating) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00460	19.015	25.819	15.306	0	0	0	MprB-MprA (maintenance of persistent infection) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00459	0	0	0	0	10.595	0.893	VicK-VicR (cell wall metabolism) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00457	0	0	0	0.944	0	146.068	TctE-TctD (tricarboxylic acid transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00456	0	0	0	14.32	0	272.424	ArcB-ArcA (anoxic redox control) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00455	0	0	0	10.919	0	0	TorS-TorR (TMAO respiration) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00454	15.574	0	0	0	0	44.274	KdpD-KdpE (potassium transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00453	0	0	0	0	0	743.998	QseC-QseB (quorum sensing) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00452	0	1.101	1.479	0.476	3.405	1186.955	CusS-CusR (copper tolerance) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00449	0	0	0	0	1.868	48.086	CreC-CreB (phosphate regulation) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00446	227.504	295.373	303.189	0	0	408.31	RstB-RstA two-component regulatory system [PATH:map02020] [BR:ko02022]
M00445	10.702	11.5	13.006	30.619	45.974	3082.973	EnvZ-OmpR (osmotic stress response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00444	0	0	1.247	24.253	8.446	81.986	PhoQ-PhoP (magnesium transport) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00440	2.653	0	0	4.72	4.676	2.389	Nickel transport system [PATH:map02010] [BR:ko02000]
M00439	1168.977	1090.238	1309.037	13.367	109.135	424.307	Oligopeptide transport system [PATH:map02010] [BR:ko02000]
M00438	1.281	7.136	6.308	53.278	80.075	218.691	Nitrate/nitrite transport system [PATH:map02010] [BR:ko02000]
M00436	0	0	0	0	0	103.532	Sulfonate transport system [PATH:map02010] [BR:ko02000]
M00435	0	0	0	18.873	1.25	127.852	Taurine transport system [PATH:map02010] [BR:ko02000]
M00434	14.128	18.056	25.017	1.404	8.32	1635.341	PhoR-PhoB (phosphate starvation response) two-component regulatory system [PATH:map02020] [BR:ko02022]
M00433	14.038	32.839	24.197	63.327	104.122	11.267	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate [PATH:map01210 map01230 map00300]
M00432	122.069	293.625	229.922	199.55	415.79	7194.983	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]
M00430	1203.691	1520.57	1321.587	1243.812	983.488	85.868	Exon junction complex (EJC) [PATH:map03013 map03015 map03040] [BR:ko03041]
M00429	16.511	9.616	10.708	26.744	29.819	522.483	Competence-related DNA transformation transporter [BR:ko02044]
M00428	963.464	1995.013	1616.144	1919.538	1225.669	139.07	eIF4F complex [PATH:map03013] [BR:ko03012]
M00427	869.645	732.946	684.903	1189.059	1113.315	79.861	Nuclear pore complex [PATH:map03013]
M00426	61.926	77.621	81.268	92.11	55.466	11.436	Survival motor neuron (SMN) complex [PATH:map03013] [BR:ko03041]
M00425	262.258	469.838	342.764	202.072	324.755	21.016	H/ACA ribonucleoprotein complex [PATH:map03008] [BR:ko03032 ko03009]
M00424	0	0	0	12.189	13.824	0.917	Shelterin complex [BR:ko03032]
M00419	1.536	1.67	18.575	0	5.434	0	Cymene degradation, p-cymene => p-cumate [PATH:map01220 map00622]
M00417	14.096	11.991	2.673	28.531	82.841	381.48	Cytochrome o ubiquinol oxidase [PATH:map00190]
M00415	283.236	556.423	353.142	522.594	701.482	25.671	Fatty acid biosynthesis, elongation, endoplasmic reticulum [PATH:map01212 map00062]
M00414	5.125	6.209	10.646	80.061	84.03	0	Bloom's syndrome complex [PATH:map03460] [BR:ko03400]
M00413	0	0	0	19.901	1.271	0	FA core complex [PATH:map03460] [BR:ko03400]
M00412	376.563	402.637	298.699	525.819	318.569	33.754	ESCRT-III complex [PATH:map04144]
M00411	4533.801	3832.265	3977.588	1125.368	892.058	50.956	SCF-GRR1 complex [PATH:map04120 map04111] [BR:ko04121]
M00410	0	0	0	19.967	1.58	0	ESCRT-II complex [PATH:map04144]
M00409	191.206	172.815	134.98	143.515	166.075	10.085	ESCRT-I complex [PATH:map04144]
M00408	133.05	97.792	87.878	87.658	137.278	11.219	ESCRT-0 complex [PATH:map04144]
M00407	4533.801	3835.355	3979.691	1132.369	900.638	52.042	SCF-CDC4 complex [PATH:map04120 map04111] [BR:ko04121]
M00406	395.998	416.368	395.663	675.612	577.597	47.698	TREX complex [PATH:map03013 map03040] [BR:ko03041]
M00405	29.143	31.709	34.772	205.566	153.411	6.924	THC complex [PATH:map03040 map03013] [BR:ko03041]
M00404	519.005	712.822	531.196	428.063	598.615	26.685	COPII complex [PATH:map04141]
M00403	728.217	630.412	573.354	595.95	560.293	43.55	HRD1/SEL1 ERAD complex [PATH:map04141]
M00402	889.808	990.245	698.915	553.323	962.645	74.939	Translocon-associated protein (TRAP) complex [PATH:map04141]
M00401	502.076	625.892	559.963	336.44	549.632	32.138	Sec61 complex [PATH:map03060 map04141 map04145 map05110] [BR:ko02044]
M00400	683.877	596	554.859	321.226	335.782	25.044	p97-Ufd1-Npl4 complex [PATH:map04141]
M00399	14.867	38.671	22.576	92.986	71.236	6.008	Cap binding complex [PATH:map03013 map03015 map03040 map03040] [BR:ko03041]
M00398	358.839	511.378	419.896	598.544	471.303	19.109	Sm core complex [PATH:map03040] [BR:ko03032 ko03041]
M00397	56.413	97.376	101.375	83.47	73.707	9.844	Lsm 1-7 complex [PATH:map03018]
M00396	56.413	97.376	101.375	81.849	75.469	9.844	Lsm 2-8 complex [PATH:map03040 map03018] [BR:ko03041]
M00395	188.324	192.077	160.192	1199.348	1175.243	94.17	Decapping complex [PATH:map03018]
M00394	538.481	506.849	620.141	1441.371	819.139	6701.714	RNA degradosome [PATH:map03018]
M00393	88.145	132.406	80.573	349.597	124.572	13.149	TRAMP complex [PATH:map03018]
M00392	70.272	35.214	45.508	49.167	54.967	2.075	Ski complex [PATH:map03018]
M00391	100.713	54.901	47.244	95.066	90.795	4.005	Exosome, eukaryotes [PATH:map03018]
M00390	86.658	38.207	30.949	12.557	28.927	4.005	Exosome, archaea [PATH:map03018]
M00389	166.401	125.331	128.877	430.814	331.848	23.163	APC/C complex [PATH:map04120 map04110 map04114 map04914 map04111 map04113] [BR:ko04121 ko03036]
M00388	178.778	120.809	127.274	130.698	210.627	9.41	ECS complex [PATH:map04120] [BR:ko04121]
M00387	4554.697	3843.91	4008.635	1145.861	912.23	52.042	SCF-FBW7 complex [PATH:map04120] [BR:ko04121]
M00386	199.568	450.857	272.863	189.758	181.903	9.892	Cul4-DDB1-CSA complex [PATH:map04120 map03420] [BR:ko04121 ko03400]
M00385	199.568	450.857	272.863	182.147	181.903	9.892	Cul4-DDB1-DDB2 complex [PATH:map04120 map03420] [BR:ko04121 ko03400]
M00384	481.201	801.749	607.457	120.288	184.279	13.849	Cul3-SPOP complex [PATH:map04120] [BR:ko04121]
M00383	352.529	540.662	385.856	191.361	252.494	24.683	ECV complex [PATH:map04120 map05211] [BR:ko04121]
M00382	4533.801	3832.265	3977.588	1125.368	892.058	50.956	SCF-FBS complex [PATH:map04120 map04141] [BR:ko04121]
M00381	4533.801	3832.265	3977.588	1125.368	898.047	50.956	SCF-SKP2 complex [PATH:map04120 map04110 map05168] [BR:ko04121]
